               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12192,            0.028615,            0.028655,                   0,                   0,                   0,                   0,            0.086642,             0.02239,            0.020587,              0.0964,              0.0004,              0.0004
                   1,             0.09701,            0.029248,            0.026597,           0.0031447,             0.33333,            0.019667,           0.0029821,            0.075318,             0.02158,            0.020167,            0.091898,          0.00089822,          0.00089822
                   2,              0.0846,            0.030818,             0.02891,           0.0030488,                 0.5,            0.098594,            0.018136,            0.049726,            0.022276,            0.019831,            0.087394,           0.0013945,           0.0013945
                   3,            0.080665,            0.030315,            0.028187,           0.0022556,                 0.5,            0.074646,            0.014271,            0.042879,            0.021812,            0.019603,            0.082889,           0.0018887,           0.0018887
                   4,            0.067275,            0.028966,             0.02325,           0.0033536,                0.75,            0.049264,              0.0134,            0.042362,            0.019845,            0.018992,            0.078381,            0.002381,            0.002381
                   5,            0.066847,            0.032219,            0.030255,           0.0033987,             0.91667,              0.0312,           0.0085912,            0.044893,            0.017818,            0.018517,            0.073871,           0.0028713,           0.0028713
                   6,            0.057772,            0.026918,            0.024061,           0.0029458,             0.83333,             0.11212,            0.069399,            0.045003,            0.016032,            0.018791,             0.06936,           0.0033596,           0.0033596
                   7,             0.05253,            0.026885,            0.023371,            0.038727,                0.75,              0.2196,             0.10288,            0.043792,            0.015078,            0.019173,            0.064846,           0.0038459,           0.0038459
                   8,             0.06188,            0.027739,            0.023742,            0.046362,                   1,             0.33973,            0.089223,            0.042424,            0.014075,            0.019436,             0.06033,           0.0043303,           0.0043303
                   9,            0.049644,            0.022596,             0.02094,            0.064646,                 0.5,            0.085769,            0.019853,            0.052842,            0.013122,            0.018201,            0.055813,           0.0048127,           0.0048127
                  10,            0.054331,             0.01987,            0.028367,            0.073944,             0.66667,            0.090004,            0.028792,            0.046835,            0.013252,             0.01756,            0.051293,           0.0052931,           0.0052931
                  11,            0.052935,            0.018569,            0.021737,             0.13497,                0.75,              0.3299,            0.088441,            0.041858,            0.012145,              0.0171,            0.046771,           0.0057715,           0.0057715
                  12,            0.061998,            0.019246,             0.02475,               0.483,             0.57613,             0.59387,              0.2162,            0.041941,            0.011673,             0.01625,            0.042248,           0.0062479,           0.0062479
                  13,            0.049682,            0.018412,            0.020248,              0.3169,             0.81835,             0.58919,              0.1962,             0.02667,            0.011742,            0.016512,            0.037722,           0.0067224,           0.0067224
                  14,            0.045845,            0.018273,            0.019374,            0.074494,             0.91667,             0.11945,            0.048149,            0.044002,           0.0095033,            0.016893,            0.033195,           0.0071949,           0.0071949
                  15,            0.059879,            0.018632,            0.021327,             0.13427,             0.64144,             0.26037,            0.079389,            0.041407,           0.0090373,             0.01674,            0.028665,           0.0076654,           0.0076654
                  16,            0.062302,              0.0175,            0.024749,            0.085167,             0.45686,             0.10918,            0.023346,            0.048864,           0.0085064,            0.014532,            0.024134,           0.0081339,           0.0081339
                  17,            0.056799,            0.018742,            0.020316,             0.24883,             0.58333,             0.35495,             0.10474,            0.039034,           0.0093983,            0.014431,              0.0196,           0.0086004,           0.0086004
                  18,            0.041978,            0.018551,            0.020844,             0.45733,             0.66667,             0.43738,             0.14917,            0.033468,            0.010533,            0.013997,            0.015065,            0.009065,            0.009065
                  19,            0.044504,            0.017665,            0.026588,            0.050251,             0.33333,            0.097903,            0.023233,            0.041746,            0.011888,            0.015104,            0.010528,           0.0095276,           0.0095276
                  20,              0.0549,             0.01526,            0.023786,            0.076855,             0.66667,             0.14272,             0.03622,            0.055533,            0.012048,            0.016886,            0.009604,            0.009604,            0.009604
                  21,            0.055156,            0.013243,             0.01972,            0.068967,             0.91667,             0.10223,             0.02416,            0.039417,            0.013383,            0.016965,            0.009604,            0.009604,            0.009604
                  22,            0.047311,            0.014247,            0.019406,             0.13202,             0.91667,             0.24749,            0.060734,            0.032566,            0.012713,            0.016816,           0.0095842,           0.0095842,           0.0095842
